Debiteurnummer;Naam1;Naam2;Zoeknaam;Adres;Postcode;Plaats;Land;Contact;Telefoon;Mobiel;Email;Email cc;Email factuur;Email factuur cc;BTW nummer
00000049;LIETON BV;;LIETON B;VAN VOORDENPARK 6D;5301 KP ;ZALTBOMMEL;NL      ;BENO OLDENHUIS;0418-541082;;;;;;
00000050;DIJKSTRA MECHANISATIE BV.;;DIJKSTRA;Beuckenswijkstraat 12;8565 GN ;SONDEL  ;NL      ;DHR.W. VISSER;0514-604141;;werkplaats@dijkstramechanisatie.com                         ;;Werkplaats@dijkstramechanisatie.com;;
00000051;MST GROEP;;MST GROE;Rapenburgweg 12;4365 ND ;MELISKERKE;NL      ;Dhr.Devin Matthijsse;(0)118-227430;(0)6-39081434;devin.matthijsse@mstgroep.nl                                ;;invoice@mstgroep.nl;;
00000053;FRANK HURKMANS SERVICE;;HURKMANS;DEN HOEK 10;5845 EL ;SINT ANTHONIS;NL      ;;0627275541;;fhurkmans@live.nl;;;;
00000054;WOPA CONSTRUCTIEBEDRIJF B.V.;;WOPA    ;RECTOR HULSHOFSTRAAT 10;7135 JV ;HARREVELD;NL      ;DHR. DIRK;0544-221232;06-86867762;inkoop@wopa.com;;Crediteuren@wopa.nl;;
00000056;VAN LEEUWEN TUINMACHINES;;LEEUWEN ;HOGE MAAT 12;3961 NC ;WIJK BIJ DUURSTEDE;NL      ;;;;info@vanleeuwentuinmachines.nl;;;;
00000057;J. EN P.G. SLINGERLAND VOF;;SLINGERL;OPPERDUIT 296;2941 AP ;LEKKERKERK;NL      ;;06-13728256;06-13728256;pieterjettyslingerland@kliksafe.nl;;Pieterjettyslingerland@kliksafe.nl;;
00000058;BALDER VOF;LOONWERK EN DIENSTVERL.;BALDER V;KLAAS KLOOSTERWEG WEST 5;7954 PR ;ROUVEEN;NL      ;DHR. J .MULDER;;;baldervof@hotmail.com;;Baldervof@hotmail.com;;
00000059;DUTCH MUSHROOM EQUIPMENT BV;;DUTCH MU;LOCHTSTRAAT 12;6039 RV ;STRAMPROY;NL      ;;031774631468;;gerard@dme-online.nl;;;;
00000094;GEJE TRUCK HYDRAULICS BV;;GEJE TRU;RONTGENWEG 8;8503 AG ;JOURE   ;NL      ;G.J. ZUIDEMA;0515-581808;06-54728991;verkoop@geje.nl                                             ;;Invoice@geje.nl;;
00000121;WALKRO BLITTERWIJCK BV;;WALKRO  ;VEERWEG 11;5863 AR ;BLITTERSWIJCK;NL      ;;0478-538181;;;;;;
00000122;BUNKERCENTRALE B.V.;;BUNKERCE;KANAALSTRAAT 31;4905 BH ;OOSTERHOUT;NL      ;R. JASPERS;0162-454087;;orderbevestiging@bunkercentrale.nl                          ;;factuur@bunkercentrale.nl;;
00000123;KOKS CIVIEL BV;;KOKS CIV;DIAMANTWEG 1;1812 RC ;ALKMAAR ;NL      ;T.A.V. B. VAN TUYL;072-5406699;;r.v.weert@koksspecialproducts.com                           ;;finance@koks.com;;
00000124;DIESEKO GROUP B.V.;;DIESEKO ;LELYSTRAAT 49;3364 AH ;SLIEDRECHT;NL      ;WIM PETERSEN;0184-410333;;info@diesekogroup.com                                       ;;Facturen@diesekogroup.com;;
00000125;GEMS;;GEMS    ;ZUIDLANGEWEG 6;4796 SB ;OUDEMOLEN;NL      ;;0168-462549;;;;;;M2202201
00000127;VETUS BV;;VETUS   ;FOKKERSTRAAT 571;3125 BD ;SCHIEDAM;NL      ;J. van Dijk;010-4377700;;;;Invoices@vetus.com;;
00000128;SLOOTSMID ZETRAC B.V.;;SLOOTSMI;GRUTTOSTRAAT 51;7471 ER ;GOOR;NL      ;;0547-284110;;dion@zetrac.nl                                              ;;administratie@zetrac.nl;;
00000129;BOUWMAN HYDRAULIEK;;BOUWMAN ;ZEESLUIZEN 6;9936 HX ;DELFZIJL;NL      ;;0596-650146;06-55913085;info@bouwman-hydrauliek.nl                                  ;;H.TOLK@BOUWMAN-HYDRAULIEK.NL;;M010120 
00000131;J & E MACHINES;;J & E   ;JACOBUS LIPSWEG 100;3316 BP ;DORDRECHT;NL      ;;078-6179839;;info@j-e-machines.nl                                        ;;Factuur@j-e-machines.nl;Info@j-e-machines.nl;
00000132;DUTCH PILING EQUIPMENT;;DUTCH PI;2E HAVENSTRAAT 6;1976 CE ;IJMUIDEN;NL      ;T.a.v. M. de Vries;0255-531844;Martijn de Vries;info@dutchpilingequipment.com                               ;;ACCOUNTING@DUTCHPILINGEQUIPMENT.COM;;
00000133;DEGRA MACHINEBOUW EN;HYDRAULIEK BV;DEGRA   ;JAMES WATTSTRAAT 2;3281 NK ;NUMANSDORP;NL      ;JAN WILLEM DE GRAAF;0186-652189;06-13554923;mail@degra.com                                              ;;Facturen@degra.com;;
00000134;P.W. BOLKENBAAS;;BOLKENBA;BRASWEG 3;4321 TB ;KERKWERVE;NL      ;P.W.BOLKENBAAS;0111-412967;06-54383785;pw.bolkenbaas@kpnmail.nl                                    ;;;;
00000135;G.J. VAN GURP;                        ;GURPVAN ;BOERHAAR 9;8131 ST ;WIJHE                         ;NL      ;;0570-521286    ;;;;;;M010118 
00000136;VEKOMA BV;;VEKOMA  ;PARALLELWEG 16;8152 BE ;LEMELERVELD;NL      ;;0572-365771;06-14297800 hans;electro@vekoma-clutch.nl                                    ;;facturen@vekoma-clutch.nl;;
00000137;HOLVO LETTELE BV;                        ;HOLVO   ;BATHMENSEWEG 23B        ;7434 PW ;LETTELE                       ;NL      ;;0570-551586    ;;info@holvo.nl                                               ;;Factholvo@holvo.nl;;
00000138;SLOOTSMID TWENTE        ;                        ;SLOOTSMI;NIJVERHEIDSWEG 4        ;7471 EV ;GOOR                          ;NL      ;;0547-273092    ;;h.wilbrink@slootsmid.nl                                     ;r.helmstrijd@slootsmid.nl;;;
00000139;HOEBE BV;;TREFINA ;LAGE BRINK 19;7317 BD ;APELDOORN;NL      ;WIM HOEBE;055-5215026;06-27005376;info@trefina.nl                                             ;;info@hoebebv.com;;
00000140;VAN DEN HEERIK'S;INTERNATIONAAL TRANSPORTBEDR.;HEERIK  ;GROTEN DORST 1;1721 CW ;BROEK OP LANGEDIJK;NL      ;DRS ING. VAN DEN HEERIK;0226331033;;werkplaats@vandenheerik.nl                                  ;;;;
00000141;VMI Epe Holland BV;;VMI EPE ;Gelriaweg 16;8161 RK ;EPE                           ;NL      ;T.A.V. GERRIT KRIJGSMAN;0578-679111;;SALES@VMI-GROUP.COM                                         ;;;;
00000142;ASI SOEST B.V.;;ASI SOES;NIEUWEGRACHT 15;3763 LP ;SOEST   ;NL      ;MARISKA GODTHELP;035-6017044;;facturen@asisoest.nl                                        ;;Facturen@asisoest.nl;;
00000143;M+S HYDRAULIC;;M+S     ;68  KOZLUDUY ST.;6100    ;KAZANLUK;BG      ;T. SLAVOV;0035-943164271;;;;;;
00000145;OLEODINAMICA MARCHESINI;;OLEODINA;Via dell'Artigianato, 3/17;25080   ;MOLINETTO DI MAZZANO (BS);IT      ;;39 030 2629171;+39 349 2213948;massimo.parati@oleodinamicamarchesini.com                   ;;;;
00000146;WATERSCHAP RIJN EN IJSSEL;;WATERSCH;LIEMERSWEG 2;7006 GG ;DOETINCHEM;+       ;;0314- 369369;;;;;;
00000177;TIEFFE SRL;;TIEFFE S;VIA DELL'INDUSTRIA 7;27010   ;CURA CARPIGNANO - PAVIA;I       ;TO ANTONELLA;0039-0382583020;;;;;;
00000181;HBL;;HBL     ;SCHAAPSDIJK  2;5472 PE ;LOOSBROEK;NL      ;FRANS V.D. BERG;0413-229549;;hbl@home.nl                                                 ;;Hbl@home.nl;;
00000299;RASTELLI RACCORDI S.;;RASTELLI;VIA CIRCONVALLAZIONE 26;27019   ;VILLANTERIO;IT      ;;0039/0382963000;;order@rastelliraccordi.it                                   ;;;;
00000301;EDWARD en H&C;HOOGENDOORN;EDWARD  ;Godfried Schalkensingel 34;3311 SJ ;DORDRECHT                     ;NL      ;EDJE;;;edward@hcsoftware.nl                                        ;;;;
00000458;AUTOMEKA TIELT;;ADB     ;STASEGEMSESTEENWEG 190;B8530   ;HARELBEKE;BE      ;;0032-56-224030;;;;;;
00000459;HYDROMEKA;;HYDROM  ;BIJKHOEVELAAN 24 BUS 1;2110    ;WIJNEGEM;BE      ;WERNER DOBBELEERS;0032-3-3266300;;;;;;
00001090;NABER LMB VOF;;NABER LM;NIEUWE KRIM 23;7741 NR ;COEVORDEN;NL      ;;0524-571490;;info@naberlmb.nl                                            ;;Factuur01@naberlmb.nl;;
00001091;N.C.H. HYDRAULIC SYSTEMS B.V.;;N.C.H. H;TOLDIJK 21;7901 TA ;HOOGEVEEN;NL      ;;0528-750200;;nch@nch-hydraulic.nl                                        ;;;;
00001092;KONINKLIJKE NOOTEBOOM TR. B.V.;;NOOTEBOO;NIEUWEWEG 190;6603 BV ;WIJCHEN ;NL      ;T.a.v. B. van Kessel;024-6488864;;purchase@nooteboom.com                                      ;d.sengers@nooteboom.com;facturatie@nooteboom.com;;
00001093;N.C.H. HYDRAULIC SYSTEMS B.V.;;N.C.H. H;TOLDIJK 21;7901 TA ;HOOGEVEEN;NL      ;G. JOESTEN;0528-750200;;nch@nch-hydraulic.nl                                        ;;;;
00001094;Koops Machinefabriek;;KOOPS   ;Industrieweg 15;1775 PV ;MIDDENMEER - NEDERLAND;NL      ;T.a.v. R. Koops;0227-501603;;magazijn@koopsmiddenmeer.nl                                 ;;info@koopsmiddenmeer.nl;;
00001095;OnLevel;;ONLEVEL ;INNOVATIELAAN 25;8466 SN ;HEERENVEEN-WEST;NL      ;Frank Nijholt;0513-617073;;info@onlevel.nl                                             ;;;;
00001096;BIJLARD HYDRAULIEK;;BIJLARD ;OVENBERG 3A;6596 DP ;MILSBEEK;NL      ;;0485-516483;;info@bijlard.nl                                             ;;Administratie@bijlard.nl;;
00001097;TECHMAT;;TECHMAT ;ACHTERZOOM 25;7211 NE ;EEFDE   ;NL      ;H.G.R.DIJKMAN;0575-224319;;info@techmat.nl                                             ;;;;
00001098;DOEDIJNS;;DOEDIJNS;COENECOOP 21;2741 AB ;WADDINXVEEN;NL      ;;0182-302822;;info@doedijns.com                                           ;;ap@doedijns.com;;
00001099;RUFLO;;RUFLO   ;DUKAAT 10A;5751 PW ;DEURNE  ;NL      ;;0493-318301;06-20969546;info@ruflo.nl                                               ;;;;
00001100;KOPPERT MACHINES EN ZONEN BV;;KOPPERT ;VLOTLAAN 616;2681 TX ;MONSTER ;NL      ;MAARTEN;0174-240241;06-23456749;m.driessen@koppertmachines.nl                               ;;facturen@koppertmachines.nl;;
00001101;HILMAR B.V.;;HILMAR S;EUROPAWEG 5;8181 BG ;HEERDE  ;NL      ;J. DE VRIES/RONALD NIJENHUIS;0578-693030;06-55958225;info@hilmarbv.com                                           ;;;;M15-1208
00001103;TECHNOPOINT B.V.;;EURONORM;INDUSTRIEWEG;7202 CB ;ZUTPHEN ;NL      ;;0575-599740;;sales@technopointbv.nl                                      ;;;;
00001104;INTER-TECHNO B.V.       ;                        ;INTERTEC;PARAMARIBOWEG 46;7333 PB ;APELDOORN                     ;NL      ;;055-5425333    ;;www.intertechno.nl                                          ;;;;
00001105;PRINS WATERSPORT;;PRINS   ;SLUISWACHTER 24;3861 SN ;NIJKERK ;NL      ;;;06-24509040;info@prinswatersport.nl                                     ;;;;
00001106;Digo Techniek;;DIGO    ;BODDENS HOSANGWEG 51;2481 KX ;WOUBRUGGE;NL      ;A. DIJKSHOORN;0172-518139;;magazijn@digotechniek.nl                                    ;magazijn.woubrugge@digoboer.nl;Kantoor@digoboer.nl;;
00001107;ROBUCON B.V.;;ROBUCON ;BERRIE  2;1724 BB ;OUDKARSPEL;NL      ;;0226-313496;;mail@robucon.nl                                             ;;administratie@robucon.nl;;
00001108;HILMAR INDUSTRIES B.V.;;HILMAR I;EUROPAWEG 5;8181 BG ;HEERDE;NL      ;JOHAN DE VRIES;0578-693030;;info@hilmarbv.com       www.hilmarbv.com                    ;;;;
00001109;H.O. SCHOUTEN-MACHINES V.O.F.;;SCHOUTEN;LOON 62;5757 AD ;LIESSEL ;NL      ;P.H.L. SCHOUTEN;0493-342210;06-20371874;ho.sch@hetnet.nl                                            ;;;;
00001110;JARI TECHNIEK;;JARI TEC;SMIRNOFFSTRAAT 9a;7903 AZ ;HOOGEVEEN                     ;NL      ;;0528-232328;;info@jaritechniek.nl                                        ;;;;
00001112;SWANENBERG HYDRAULIEK B.V.;;SWANENBE;ACHTERDIJK 9;5705 CB ;HELMOND ;NL      ;CECIEL BOULONOIS;0492-552922;;info@swanenberg.nl                                          ;;;;
00001113;S. TJALMA B.V.;;TJALMA  ;LANGEWOLDERWEG 36;9821 PP ;OLDEKERK;NL      ;;0594-695603 / 7;;magazijn@tjalma.nl                                          ;werkplaats planning@tjalma.nl;facturen@Tjalma.nl;;
00001114;TJALMA DRACHTEN B.V.;;TJALMA  ;DOPPLERLAAN 6A;9207 HC ;DRACHTEN;NL      ;;0512-204141;;inkoop@tjalmadrachten.nl                                    ;administratie@tjalmadrachten.nl;Facturen@tjalmadrachten.nl;;
00001115;PIRTEK;;PIRTEK A;Hongkongstraat 29;3047 BR ;ROTTERDAM;NL      ;;0546-873783;0102383222;purchase@pirtek.nl                                          ;;Purchase.benelux@pirtek.nl;;
00001117;KOSTER DRIVE @ CONTROL SOL. BV;;KOSTER H;THERMIEKSTRAAT 5A;6361 HB ;NUTH    ;NL      ;HERMAN KORSTEN;045-5241263;;herman.korsten@koster-hydrauliek.nl                         ;;;;
00001118;HYDRAULICA-BRABANT;;HYDRAULI;PROF. EYKMANWEG 5b;5144 ND ;WAALWIJK;NL      ;T.A.V. L. KITSELAAR;0416-349469;06-46255931;info@hydraulica-brabant.nl                                  ;;Admin@hydraulica-brabant.nl

;;
00001119;HEMOS MACHINEBOUW BV;;HEMOS BV;PARADIJSWEG 4;7942 HB ;MEPPEL  ;NL      ;;06-83810088;FOPP 06-46602500;info@hemos.nl                                               ;;Administratie@hemos.nl;;
00001120;DOOSAN INFRACORE EUROPE S.A.;;DOOSAN I;1A, RUE ARCHILLE DEGRACE;7080    ;FRAMERIES;BE      ;;0032-65613230;;elisabeth.dacosta@doosan.com                                ;;accounting.dieu@doosan.com;;
00001122;HANDELSONDERNEMING DE  SCHANS;;SCHANS  ;DRIELSEWEG 46A;5321 NC ;HEDEL   ;NL      ;;073-5991750;;info@deschansbv.nl                                          ;;marielle@deschansbv.nl;;
00001123;PIRTEK HEERENVEEN;;PIRTEK H;DE STAPELING 6;8447 GN ;HEERENVEEN;NL      ;;0513-648483;;rene.pirtekheerenveen@gmail.com                             ;;;;M010120 
00001124;KVERNELAND GROUP NIEUW VENNEP;;KVERNELA;HOOFDWEG 1278;2153 LR ;NIEUW VENNEP;NL      ;DHR. H. FAAS 06-10892615;0252-662244;06-10892615 FAAS;hans.faas@kvernelandgroup.com                               ;jacco.van.veen@kvernelandgroup.com;Admin.Nieuw-Vennep@kvernelandgroup.com;;
00001125;VBK COVERING;06-53330913 JANDRIK KNAPEN;VBK     ;DR.HUUB VAN DOORNEWEG 22;5753 PM ;DEURNE  ;NL      ;DHR. J. KNAPEN;0493-529559;06-13350282 ALBE;office@vbkcovering.nl                                       ;;office@vbkcovering.nl;;
00001126;HYDRO-VASLI TILBURG B.V.;;HYDRO-VA;PEGASUSWEG 6;5015 BZ ;TILBURG ;NL      ;H. BOLENIUS;013-5365806;;francois@hydrovasli.nl                                      ;info@hydrovasli.nl;factuur@hydrovasli.nl;;
00001128;B+W AANDRIJFTECHNIEK;;B+W AAND;FREGATWEG 120;6222 NZ ;MAASTRICHT;NL      ;;0433-652929;;;;;;
00001129;LANTOR BV;;LANTOR B;VERLAAT 22;3901 RG ;VEENENDAAL;NL      ;JAN VAN DAM;0318-537111;0318-537296;lantorbv@lantor.nl                                          ;;;;
00001130;DE RIDDER CIVIEL- EN CULTUURT.;;RIDDER  ;VELDMAARS. MONTGOMERYWEG 61A;3769 BH ;SOESTERBERG;NL      ;THEO ZWART;0346-351880;;info@jderidderbv.nl                                         ;;;;
00001131;VAN LAAR GROEP;;LAAR    ;BREDEWEG 68A;2752 AB ;MOERKAPELLE;NL      ;;079-5922581;06-19354854;info@vanlaargroep.nl                                        ;;;;
00001132;VERMEER MACHINE TECHNIEK BV;;VERMEER ;GRAFTERMEERSTRAAT 29-33;2131 AA ;HOOFDDORP;NL      ;PETER ADMIRAAL;023-5542300;;inkoop@vermeermt.nl                                         ;;;;
00001133;STC BV;;STC BV  ;MONIERWEG 9/A;7741 KV ;COEVORDEN;NL      ;;0524-525375;06-25108576;;;;;
00001134;VOLKER STEVIN MATERIEEL BV;;VOLKER S;DONKER DUYVISWEG 75;3316 BL ;DORDRECHT;NL      ;;0525-659500    ;;orderbevestiging@vsmaterieel.nl                             ;;Inkoopfacturen@vsmaterieel.nl;;
00001135;VAKO TRUCK HYDRAULIEK;;VAKO TRU;HONDSDIJK 3A;2396 HG ;KOUDEKERK A/D RIJN;NL      ;;071-3410705;;info@vakotruckhydrauliek.nl                                 ;;;;
00001137;BETRAS CARROSSERIEEN B.V.;;BETRAS C;SAMUEL MORSESTRAAT 11;5928 LZ ;VENLO - NEDERLAND;NL      ;J. SAMPERS;077-3961440;;;;;;
00001138;T.H.O. NOMAG B.V.;;NOMAG   ;GOOILAND 72;1948 RD ;BEVERWIJK;NL      ;R. NOSTHEIDE;0251-229303;;ronnostheide@nomag.nl                                       ;;;;
00001139;NIKKELS BV;                        ;NIKKELS ;BOTTENHOEKSEWEG 3       ;7395 SC ;TEUGE                         ;NL      ;;055-3231484    ;;;;;;
00001140;MARINE SERVICE HARLINGEN;;MARINE  ;KANAALWEG 31-3;8861 VA ;HARLINGEN;NL      ;;06-21548530;;info@marineserviceharlingen.nl                              ;;;;
00001141;HI-POWER LIMITED;;HI-POWER;DUBLIN HILL;        ;BLACKPOOL (CORK);IR      ;DOMINIC CONNER;0214301742;;dconner@hipower.ie                                          ;;;;
00001142;CIRCULES B.V.;TAV CREDITEURENADMINISTRATIE;CIRCULUS;ARUBA 16                ;7332 BK ;APELDOORN                     ;NL      ;;088-7082082;;info@circulus.nl                                            ;;Crediteuren@circulus-berkel.nl;;M180320 
00001143;PERSLUCHTCENTRUM;HARDERWIJK BV;PERSLUCH;FAHRENHEITSTRAAT 84;3846 CD ;HARDERWIJK;NL      ;MARCO SMIT;0341-427484;;info@persluchtcentrum.nl                                    ;;Info@persluchtcentrum.nl;;
00001144;DAMCON BV;;DAMCON  ;Bomenlaan 2;6669 MW ;DODEWAARD;NL      ;DICK DERKSEN;0488-442828;;derksen@damcon.nl                                           ;;administratie@damcon.nl;;
00001146;ECODRIE BV;;ECODRIE ;CELCIUSSTRAAT 2;6604 CW ;WIJCHEN ;NL      ;;024-6451595;;info@ecodrie.nl                                             ;;;;
00001147;GRONDVERZET VAN DIJK;;DIJK    ;MICHAELSTRAAT 10;5916 SN ;VENLO  -  NEDERLAND;NL      ;;06-10385824;;info@vandijkvenlo.nl                                        ;;;;
00001148;HARMSEL METAAL EN;LASTECHNIEK;HARMSEL ;GOORSEWEG 33A;7475 BC ;MARKELO ;NL      ;;0547-364295;06-57605746;info@harmsel-metaal.nl                                      ;;;;
00001149;DE BURGH ACHT BV;;DE BURGH;HET SCHAKELPLEIN 26;5651 GR ;EINDHOVEN;NL      ;;040-8447488;;magazijn8@deburgh.com                                       ;;;;
00001150;VTM BV;;VTM     ;TRANSPORTWEI 2;8501 ZP ;JOURE   ;NL      ;T.a.v. W. van Triest;088-2011900;;info@vtm-machines.nl                                        ;;administratie@vtm-machines.nl;;
00001151;COUMANS LOGISTICS B.V.;;COUMANS ;MEERSTRAAT 50;6241 ND ;BUNDE   ;NL      ;RON PLOUMEN;043-3586000;;r.ploumen@coumans-transport.nl                              ;;;;
